I have a headache.	Masakit ulo ko.
For example, some 12 defendants against the teaching of creationism in the United States in the case of McLean v. Arkansas consists of clergy and preachers representing Methodist, Episcopal, African Methodist Episcopal, Catholic, Southern Baptist, Reform Jewish, and Presbyterian groups.	Halimbawa, ang mga 12 na nagsakdal laban sa pagtuturo ng kreasyonismo sa Estados Unidos sa kaso ng korte na McLean v. Arkansas ay binubuo ng mga klero at mangangaral na kumakatawan sa mga pangkat na Methodist, Episcopal, African Methodist Episcopal, Katoliko, Southern Baptist, Reform Jewish, at Presbyterian.
The Archbishop of Canterbury, Dr. Rowan Williams, released statements supporting evolution in 2006.	Ang Arsobispo ng Canterbury, Dr. Rowan Williams, ay naglabas ng mga pahayag na sumusuporta sa ebolusyon noong 2006.
Molleen Matsumura of the National Center for Science Education found that among Americans in 12 of the largest Christian denominations, at least 77% were among the denominations supporting the teaching of evolution.	Natagpuan ni Molleen Matsumura ng National Center for Science Education na sa mga Amerikano sa 12 pinakamalalaking mga denominasyong Kristiayno, ang hindi bababa sa 77% ay kabilang sa mga denominasyong sumusuporta sa pagtuturo ng ebolusyon.
These groups include the Roman Catholic Church, Protestantism, including the United Methodist Church, National Baptist Convention, USA, Evangelical Lutheran Church in America, Presbyterian Church (USA), National Baptist Convention of America, African Methodist Episcopal Church, the Episcopal Church, and so forth. A number closer to about 71% was presented by the investigation by Walter B. Murfin and David F. Beck.	Ang mga pangkat na ito ay kinabibilangan ng Simbahang Katoliko Romano, Protestantism, kabilang United Methodist Church, National Baptist Convention, USA, Evangelical Lutheran Church in America, Presbyterian Church (USA), National Baptist Convention of America, African Methodist Episcopal Church, the Episcopal Church, at iba pa. Ang isang bilang na mas malapit sa mga 71% ay itinanghal ng pagsisiyasat nina Walter B. Murfin at David F. Beck.
The Roman Catholic Church also accepts evolution.	Ang Simbahang Katoliko Romano ay tumatanggap rin sa ebolusyon.
The Ahmadiyya Movement receives evolution and actively promotes it.	Ang Kilusang Ahmadiyya ay tumatanggap sa ebolusyon at aktibo itong itinataguyod.
Mirza Tahir Ahmad, the fourth coder of the Ahmadiyya movement, stated that evolution had taken place, but only by the gods it had caused.	Isinaad ni Mirza Tahir Ahmad, ang ikaapat na kalipa ng kilusang Ahmadiyya na ang ebolusyon ay nangyari ngunit sa pamamagitan lamang ng diyos na nagpangyari nito.
They do not believe that Adam was the first person on earth but only one prophet who received the divine declaration on earth.	Hindi sila naniniwala na si Adan ang unang tao sa mundo ngunit isa lamang propeta na tumanggap ng pahayag ng diyos sa mundo.
The fundamental part of the teachings of `Abdul-Bah about evolution is believing that all lives come from the same source.	Ang pundamental na bahagi ng mga katuruan ni `Abdul-Bah tungkol sa ebolusyon ang paniniwal ana ang lahat ng mga buhay ay nagmula sa parehong pinagmulan.
Hindus believe in the concept of the evolution of life in the world.	Ang mga Hindu ay naniniwala sa konsepto ng ebolusyon ng buhay sa mundo.
The concepts of Dashavatara are diverse incarnations of the gods from simple organisms and continue to become more complex as well as Braham's day and night are generally seen as instances of the acceptance of Hinduism in evolution.	Ang mga konsepto ng Dashavatara na mga iba ibang inkarnasyon ng diyos mula sa mga simpleng organismo at patuloy na nagiging mas komplikado gayundin ang araw at gabi ni Braham ay pangkalahatang nakikita bilang mga instansiya ng pagtanggap ng Hinduismo sa ebolusyon.
Francis Collins, the former Human Genome Project director, also includes evolutionist scientists.	Kabilang din sa mga siyentipikong relihiyoso na naniniwala sa ebolusyon si Francis Collins na dating direktor ng Human Genome Project.
Evolutionary resistance According to some the theologians in particular the fundamentalists or literally believe in the Bible, man has not evolved because according to their interpretation of the Bible, the first man Adam was literally created by god from the dust of the earth .	Pagtutol sa ebolusyon Ayon sa ilang mga teista partikular ang mga pundamentalista o literal na naniniwala sa Bibliya, ang tao ay hindi nag-ebolb dahil ayon sa kanilang interpretasyon ng Bibliya, ang unang taong si Adan ay literal na nilikha ng diyos mula sa alikabok ng lupa.
For fundamentalists, the scientific point of view that modern humans are moving from ancient ancestors (ancestors) who are also ancestors of chimpanzees, gorillas and others are opposites or mistakes in their interpretation that man is special created by god.	Para sa mga pundamentalista, ang pananaw ng agham na ang modernong tao ay nagebolb mula sa sinaunang ninuno(common ancestor) na ninuno rin ng mga ape gaya ng chimpanzee, gorilla at iba pa ay pagsasalungat o pagmamali sa kanilang interpretasyon na ang tao ay espesyal na nilikha ng diyos.
According to scientists, the belief that man came from a woman and man called Adam and Eve is contrary to genetic evidence.	Ayon sa mga siyentipiko, ang paniniwalang ang tao ay nagmula sa isang babae at lalake na tinawag na Adan at Eba ay sinasalungat ng mga ebidensiyang henetiko.
It is impossible for humans to come from only two people because according to genetic evidence, modern humans come from a group of at least 10,000 ancestors or individuals.	Imposibleng ang tao ay nagmula sa dalawang tao lamang dahil ayon sa ebidensiyang henetiko, ang mga modernong tao ay nagmula sa isang pangkat ng hindi bababa sa 10,000 mga ninuno o indibidwal.
It is unlikely that people today are only from two people because it will require an extremely high rate of mutation to prevent traffics from current people.	Imposibleng ang mga tao sa kasalukuyan ay magmula lamang sa dalawa lamang tao dahil ito ay mangangailangan ng imposibleng sobrang taas na rate ng mutasyon upang mangyari ang mga bariasyon sa mga kasalukuyang tao.
References External links Understanding Evolution.	Mga sanggunian Mga kawing na panlabas Understanding Evolution.
Talk Origins.	Talk Origins.
Astrophysics is the knowledge of astronomy and its relevance to physics.	Ang astropisika o talaliknayan ay ang kaalaman hinggil sa astronomiya at ang kaugnayan nito sa pisika.
It is a branch of which studies the physics of the universe, including physical properties (luminosity, density, temperature and chemical compositions) of astronomical objects such as stars, and the interstelar medians, as well as their interaction.	Isa itong sangay ng kung saan pinag-aaralan ang mga pisika ng sansinukob, kabilang ang mga pisikal na katangian (luminosidad, densidad, temperatura at komposisyong kimikal) ng mga bagay astronomikal katulad ng mga bituin, at ang interstelar medyum, gayon din ang kanilang mga interaksiyon.
The study of cosmology is the theoretical astrophysicist more expanded.	Ang pag-aaral ng kosmolohiya ang teoretikal na astropisikang mas pinalawak.
References This article is about Astronomy and Cosmology.	Sanggunian Ang lathalaing ito na tungkol sa Astronomiya at Kosmolohiya ay isang usbong.
You can help Wikipedia by extending it.	Makatutulong ka sa Wikipedia sa pagpapalawig nito.
Science (from Sanskrit: [gamma]) or science (from Spanish: Ciencia) is both a process of acquiring knowledge and the organized part of knowledge gained through its means.	Ang agham (mula sa Sanskrito: [gama]) o siyensiya (mula sa Kastila: Ciencia) ay kapwa ang proseso sa pagtamo ng kaalaman at ang organisadong bahagi ng kaalaman na natamo sa pamamagitan ng pamamaraan nito.
The scientific process is the systematic acquisition of new knowledge about a system.	Ang prosesong makaagham (scientific process) ay ang sistematikong pagtamo ng bagong kaalaman tungkol sa isang sistema.
Usually, the scientific method is systematic, and nature and its various components are the system.	Karaniwan, ang pamamaraang makaagham (scientific method) ay ang sistematikong pagtamo, at ang kalikasan at iba't ibang bahagi nito ang siyang sistema.
Science is also considered to be the sophisticated knowledge systematically acquired by scientists.	Ang agham ay itinuturing din na ang makaagham na kaalaman na sistemikong natamo ng makaagham.
History In a broad sense, science exists before the modern era and in many historic civilizations, but modern science is unique in its scientific way and has been successful in determining what science in the most meaningful sense of this word .	Kasaysayan Sa isang malawak na kahulugan, ang agham ay umiiral na bago pa man ang modernong panahon at sa maraming makasaysayang kabihasnan, subalit ang makabagong agham ay natatangi sa kanyang siyentipikong pamamaraan at naging matagumpay sa pagtukoy kung ano ang agham sa pinakatumpak na kahulugan ng salitang ito.
Branches of science Formal science (Formal sciences) Mathematics / Mathematics (Mathematics).	Mga sangay ng agham Pormal na agham (Formal sciences) Matematika/Sipnayan (Mathematics).
The Roman Catholic Church also accepts evolution.	Ang Simbahang Katoliko Romano ay tumatanggap rin sa ebolusyon.
The Ahmadiyya Movement receives evolution and actively promotes it.	Ang Kilusang Ahmadiyya ay tumatanggap sa ebolusyon at aktibo itong itinataguyod.
Mirza Tahir Ahmad, the fourth coder of the Ahmadiyya movement, stated that evolution had taken place, but only by the gods it had caused.	Isinaad ni Mirza Tahir Ahmad, ang ikaapat na kalipa ng kilusang Ahmadiyya na ang ebolusyon ay nangyari ngunit sa pamamagitan lamang ng diyos na nagpangyari nito.
They do not believe that Adam was the first person on earth but only one prophet who received the divine declaration on earth.	Hindi sila naniniwala na si Adan ang unang tao sa mundo ngunit isa lamang propeta na tumanggap ng pahayag ng diyos sa mundo.
The fundamental part of the teachings of `Abdul-Bah about evolution is believing that all lives come from the same source.	Ang pundamental na bahagi ng mga katuruan ni `Abdul-Bah tungkol sa ebolusyon ang paniniwal ana ang lahat ng mga buhay ay nagmula sa parehong pinagmulan.
Hindus believe in the concept of the evolution of life in the world.	Ang mga Hindu ay naniniwala sa konsepto ng ebolusyon ng buhay sa mundo.
The concepts of Dashavatara are diverse incarnations of the gods from simple organisms and continue to become more complex as well as Braham's day and night are generally seen as instances of the acceptance of Hinduism in evolution.	Ang mga konsepto ng Dashavatara na mga iba ibang inkarnasyon ng diyos mula sa mga simpleng organismo at patuloy na nagiging mas komplikado gayundin ang araw at gabi ni Braham ay pangkalahatang nakikita bilang mga instansiya ng pagtanggap ng Hinduismo sa ebolusyon.
Francis Collins, the former Human Genome Project director, also includes evolutionist scientists.	Kabilang din sa mga siyentipikong relihiyoso na naniniwala sa ebolusyon si Francis Collins na dating direktor ng Human Genome Project.
Evolutionary resistance According to some the theologians in particular the fundamentalists or literally believe in the Bible, man has not evolved because according to their interpretation of the Bible, the first man Adam was literally created by god from the dust of the earth .	Pagtutol sa ebolusyon Ayon sa ilang mga teista partikular ang mga pundamentalista o literal na naniniwala sa Bibliya, ang tao ay hindi nag-ebolb dahil ayon sa kanilang interpretasyon ng Bibliya, ang unang taong si Adan ay literal na nilikha ng diyos mula sa alikabok ng lupa.
For fundamentalists, the scientific point of view that modern humans are moving from ancient ancestors (ancestors) who are also ancestors of chimpanzees, gorillas and others are opposites or mistakes in their interpretation that man is special created by god.	Para sa mga pundamentalista, ang pananaw ng agham na ang modernong tao ay nagebolb mula sa sinaunang ninuno(common ancestor) na ninuno rin ng mga ape gaya ng chimpanzee, gorilla at iba pa ay pagsasalungat o pagmamali sa kanilang interpretasyon na ang tao ay espesyal na nilikha ng diyos.
