English	Filipino
He's planning to buy a bed before September 15.	Balak niyang bumili ng higaan bago mag ika-labinlima ng Septyembre.
September 19 is Thursday.	Ang ika-labingsiyam ng Septyembre ay Huwebes.
Today is October 23.	Ngayon ay ika-dalawampu't tatlo ng Oktubre.
October 14 is the day of his death.	Sa ika-labing-apat ng Oktubre ang araw ng kanyang kamatayan.
October 7 is Thursday.	Ang ika-pito ng Oktubre ay Huwebes.
It's sunny all month long except last December 5.	Umaraw buong buwan maliban noong ika-lima ng Disyembre.
Did it rain last November 13.	Umulan ba noong ika-labintatlo ng Nobyembre.
If it's not yet October 28,.	Kung hindi pa ika-dalawampu't walo ng Oktubre,.
Morning of September 24.	Umaga ng ika-dalawampu't apat ng Septyembre.
October 13 is Wednesday.	Ang ika-labintatlo ng Oktubre ay Miyerkules.
(Revelation 12:10) And I heard a loud voice.	(Rebelasyon 12:10) At narinig ko ang isang malakas na tinig sa langit.
If you are crying thirty-nine times in thirty-nine days,.	Kung umiiyak ka ng tatlumpu't-siyam na beses sa tatlumpu't-siyam na araw,.
At 12:00 PM, there are forty-seven dentist at the train station.	Merong apatnapu't-pitong dentista sa estasyon ng tren kaninang Alas dose ng tanghali.
Are you going to the cinema later at 4:00 PM.	Pupunta ka ba sa alas kwatro ng hapon mamayang sinehan.
It's sunny all month long except last September 30.	Umaraw buong buwan maliban noong ika-tatlumpu ng Septyembre.
It's sunny all month long except last September 22.	Umaraw buong buwan maliban noong ika-dalawampu't dalawa ng Septyembre.
Festival will only last until December 22.	Hanggang sa ika-dalawampu't dalawa nalang ng Disyembre ang piyesta.
says that everyone on the earth shall worship.	ang sabi lahat sa lupa ay sasambahin siya.
September 23 is Tuesday.	Ang ika-dalawampu't tatlo ng Septyembre ay Martes.
Let’s meet on October 27.	Magkita tayo sa ika-dalawampu't pito ng Oktubre.
biblical prophecy.	sa propesiya ng bibliya.
Yesterday is September 19.	Kahapon ay ika-labingsiyam ng Septyembre.
September 10 is Thursday.	Ang ika-sampu ng Septyembre ay Huwebes.
If November 8 is Saturday,.	Kung Sabado ang ika-siyam ng Nobyembre,.
September 29 is Thursday.	Ang ika-dalawampu't siyam ng Septyembre ay Huwebes.
Pastor Jimenez: Throughout scripture it is.	Pastor Jimenez: Sa buong banal na kasulatan.
Morning of November 28.	Umaga ng ika-dalawampu't walo ng Nobyembre.
Did it rain last September 6.	Umulan ba noong ika-anim ng Septyembre.
They fought last November 19 because of money.	Nag-away sila noong ika-labingsiyam ng Nobyembre dahil sa pera.
EMT Worker: One of the big things is if you.	Kawani sa EMT: Isa sa mga mahalagang bagay ay kung mayroon kang pasyenteng may trauma kung saan.
Let’s meet on December 23.	Magkita tayo sa ika-dalawampu't tatlo ng Disyembre.
Is December 8 Friday.	Biyernes ba sa ika-siyam ng Disyembre.
Today is November 6.	Ngayon ay ika-anim ng Nobyembre.
Morning of November 22.	Umaga ng ika-dalawampu't dalawa ng Nobyembre.
He will go here on November 22.	Pupunta siya dito sa ika-dalawampu't dalawa ng Nobyembre.
November 10 is the day of his death.	Sa ika-sampu ng Nobyembre ang araw ng kanyang kamatayan.
I lost my fifty trousers at 6:30 PM.	Nawala ko ang aking limampung pantalon noong alas sais e medya ng hapon.
It's already December 19!.	ika-labingsiyam na ng Disyembre!.
He sold his guitar last November 26.	Binenta niya ang kanyang gitara noong ika-dalawampu't anim ng Nobyembre.
Noon of September 17.	Tanghali ng ika-labinpito ng Septyembre.
is too much fraud - too many stolen credit.	sobrang pandaraya - sobrang dami na ninakaw na credit card at sobrang dami ng mga tumatalbog na tseke.
At 11:30 PM, there are thirty-five black pepper at the cinema.	Merong tatlumpu't-limang itim na paminta sa sinehan kaninang alas onse trenta ng tanghali.
It will be December 7 next week.	ika-pito na ng Disyembre sa susunod na linggo.
If you are crying ninety times in ninety days,.	Kung umiiyak ka ng siyamnapung beses sa siyamnapung araw,.
Just think about those words as you're singing.	Isipin lamang ang mga salitang iyon.
He's planning to buy a bed before December 28.	Balak niyang bumili ng higaan bago mag ika-dalawampu't walo ng Disyembre.
He will write a book until December 29.	Magsusulat siya ng libro hanggang sa ika-dalawampu't siyam ng Disyembre.
It rained really hard last November 20.	Umulan ng malakas noong ika-dalawampu ng Nobyembre.
shall gather together his elect from the four.	at titipunin nila ang mga hinirang mula sa lahat ng dako.
He has been tarrying for sixteen minutes at the next ATM.	labing-anim na minuto na siyang tumatambay sa susunod na ATM.
he shall send his angels with a great sound.	At susuguin ang kaniyang mga anghel na may matinding pakakak.
From 5:00 PM to 11:00 AM.	Simula nang alas singko ng hapon hanggang alas onse ng umaga.
It has been thirty months since I have two single beds.	tatlumpung buwan nang akong merong dalawang maliliit na kama.
Did it rain last September 19.	Umulan ba noong ika-labingsiyam ng Septyembre.
Noon of December 3.	Tanghali ng ika-tatlo ng Disyembre.
Did it rain last November 14.	Umulan ba noong ika-labing-apat ng Nobyembre.
It's sunny all month long except last November 26.	Umaraw buong buwan maliban noong ika-dalawampu't anim ng Nobyembre.
(Mark 13:24) But in those days.	(Marcos 13:24) Ngunit sa mga araw na yaon.
the day of Christ [again referring to the.	bagang ang kaarawan ng Panginoon [muling tumutukoy sa destruksyon] ay nalalapit na.
Yesterday is October 14.	Kahapon ay ika-labing-apat ng Oktubre.
Pastor Anderson: Now does forty and two months.	Pastor Anderson: Ngayon may naisip ba kayo sa apatnapu at dalawang buwan sa panahon at multiplika ito ng kalating panahon.
Morning of November 26.	Umaga ng ika-dalawampu't anim ng Nobyembre.
October 4 is the day of his death.	Sa ika-apat ng Oktubre ang araw ng kanyang kamatayan.
(Revelation 12:3) And there appeared another.	(Rebelasyon 12:3) At ang ibang tanda ay nakita sa langit: at narito.
to death and dying of disease.	mamamatay at papanaw sa sakit.
It rained really hard last November 22.	Umulan ng malakas noong ika-dalawampu't dalawa ng Nobyembre.
Go here on December 23.	Pumunta ka dito sa ika-dalawampu't tatlo ng Disyembre.
September 4 is Monday.	Ang ika-apat ng Septyembre ay Lunes.
Is October 3 Friday.	Biyernes ba sa ika-tatlo ng Oktubre.
October 7 will be Sunday because.	Linggo ang ika-pito ng Oktubre dahil.
Afternoon of October 17.	Hapon ng ika-labinpito ng Oktubre.
It is November 14 when.	ika-labing-apat ng Nobyembre noon nung.
Tomorrow will be September 12.	ika-labindalawa ng Septyembre bukas.
If October 30 is Saturday,.	Kung Sabado ang ika-tatlumpu ng Oktubre,.
Tomorrow will be September 7.	ika-pito ng Septyembre bukas.
He will write a book until September 18.	Magsusulat siya ng libro hanggang sa ika-labinwalo ng Septyembre.
Pastor Anderson: The reason that we made this.	Pastor Anderson: Ang rason kung bakit natin ginawa ang pelikulang ito ay hindi dahil sa nais nating hatiin ang mga buhok ng doktrina o nais lang nating.
He's planning to buy a bed before November 18.	Balak niyang bumili ng higaan bago mag ika-labinwalo ng Nobyembre.
Let’s meet on November 25.	Magkita tayo sa ika-dalawampu't lima ng Nobyembre.
October 18 is Thursday.	Ang ika-labinwalo ng Oktubre ay Huwebes.
Morning of November 17.	Umaga ng ika-labinpito ng Nobyembre.
If you are sleeping seventy times in seventy minutes,.	Kung natutulog ka ng pitumpung beses sa pitumpung minuto,.
overcome the world.	mapagtatagumpayan ninyo ang mundo.
the end of the world.	ang katapusan ng mundo.
Did it rain last September 23.	Umulan ba noong ika-dalawampu't tatlo ng Septyembre.
It rained really hard last December 25.	Umulan ng malakas noong ika-dalawampu't lima ng Disyembre.
Is November 15 Friday.	Biyernes ba sa ika-labinlima ng Nobyembre.
He lost his money last November 22.	Nawala niya noong ika-dalawampu't dalawa ng Nobyembre ang kanyang pera.
He's planning to buy a bed before September 24.	Balak niyang bumili ng higaan bago mag ika-dalawampu't apat ng Septyembre.
I wish tomorrow will be October 30.	Sana ika-tatlumpu na ng Oktubre bukas.
He will write a book until September 14.	Magsusulat siya ng libro hanggang sa ika-labing-apat ng Septyembre.
and the New Testament.	at sa Bagong Tipan.
If you are crying forty-two times in forty-two days,.	Kung umiiyak ka ng apatnapu't-dalawang beses sa apatnapu't-dalawang araw,.
They fought last November 27 because of money.	Nag-away sila noong ika-dalawampu't pito ng Nobyembre dahil sa pera.
October 27 is Thursday.	Ang ika-dalawampu't pito ng Oktubre ay Huwebes.
make war with those who believe in Christ.	makipag-digmaan sa mga mananampalataya kay kristo at sumusunod sa mga utos ng Diyos Dito kanyang.
September 12 is Monday.	Ang ika-labindalawa ng Septyembre ay Lunes.
*beep* check out at the checkout.	*beep* sa checkout.
cataclysm.	kataklismo.
going to be proclaimed as the second coming.	ipoproklama bilang ikalawang pagdating ni HesuKristo.
From 9:00 PM to 8:30 PM.	Simula nang alas nuwebe ng gabi hanggang alas otso e medya ng gabi.
spared from his wrath.	maililigtas mula sa Kanyang matinding poot.
Did it rain last December 10.	Umulan ba noong ika-sampu ng Disyembre.
Tomorrow will be October 11.	ika-labing-isa ng Oktubre bukas.
because they have received the word of God.	dahil tinanggap nila ang salita ng Diyos ng buong tuwa.
caused by human beings) there is going to.	na sang dahilan ay mga tao) may isang lalaki ang lilitaw at magiging diktador.
It has been thirty-three years since I have pork.	tatlumpu't-tatlong taon nang akong merong karne ng baboy.
November 19 will be Sunday because.	Linggo ang ika-labingsiyam ng Nobyembre dahil.
Festival will only last until November 30.	Hanggang sa ika-tatlumpu nalang ng Nobyembre ang piyesta.
He will write a book until October 1.	Magsusulat siya ng libro hanggang sa ika-isa ng Oktubre.
It is November 27 when.	ika-dalawampu't pito ng Nobyembre noon nung.
Festival will only last until November 6.	Hanggang sa ika-anim nalang ng Nobyembre ang piyesta.
He lost his money last October 12.	Nawala niya noong ika-labindalawa ng Oktubre ang kanyang pera.
He has been sleeping for forty-one months at the next ATM.	apatnapu't-isang buwan na siyang natutulog sa susunod na ATM.
dystopic novel 1984.	parang yung dystopic na nobela nung Âœ1984.
I lost my fifteen grandmother at 4:00 PM.	Nawala ko ang aking labing-limang lola noong alas kwatro ng hapon.
Noon of September 14.	Tanghali ng ika-labing-apat ng Septyembre.
Yesterday is November 18.	Kahapon ay ika-labinwalo ng Nobyembre.
He's planning to buy a bed before October 14.	Balak niyang bumili ng higaan bago mag ika-labing-apat ng Oktubre.
of the heavens shall be shaken:.	ang mga kapangyarihan sa kalawakan.
From 6:30 PM to 4:00 AM.	Simula nang alas sais e medya ng hapon hanggang alas kwatro ng umaga.
Festival will only last until December 25.	Hanggang sa ika-dalawampu't lima nalang ng Disyembre ang piyesta.
Noon of December 8.	Tanghali ng ika-siyam ng Disyembre.
Yesterday is December 20.	Kahapon ay ika-dalawampu ng Disyembre.
you've got to turn from your sins.	dapat kayong bumaling mula sa inyong kasalanan.
News Anchor: Sci-fi is here.	Tagapagbalita: Ang Sci-fi ay nandito na.
From 5:00 PM to 5:00 AM.	Simula nang alas singko ng hapon hanggang alas singko ng umaga.
But I believe you died on the cross for me and rose again.	Ngunit ako ay naniniwalang Ikaw ay namatay sa krus para sa akin at nabuhay muli.
In Revelation 12:17.	Sa Rebelasyon 12:17.
If it's not yet November 30,.	Kung hindi pa ika-tatlumpu ng Nobyembre,.
It will be September 3 next week.	ika-tatlo na ng Septyembre sa susunod na linggo.
Yesterday is December 23.	Kahapon ay ika-dalawampu't tatlo ng Disyembre.
He sold his guitar last November 23.	Binenta niya ang kanyang gitara noong ika-dalawampu't tatlo ng Nobyembre.
Did it rain last September 20.	Umulan ba noong ika-dalawampu ng Septyembre.
If December 4 is Saturday,.	Kung Sabado ang ika-apat ng Disyembre,.
Noon of October 23.	Tanghali ng ika-dalawampu't tatlo ng Oktubre.
October 10 is Tuesday.	Ang ika-sampu ng Oktubre ay Martes.
If you are crying twenty-one times in twenty-one years,.	Kung umiiyak ka ng dalawampu't-isang beses sa dalawampu't-isang taon,.
It's already November 11!.	ika-labing-isa na ng Nobyembre!.
Pastor Anderson: And he said that Islam believes.	Pastor Anderson: At ang sabi niya na naniniwala ang Islam na si Abraham ay isang dakilang propeta.
At 6:30 PM, there are three wool at the bus station.	Merong tatlong lana sa estasyon ng bus kaninang alas sais e medya ng hapon.
Today is October 12.	Ngayon ay ika-labindalawa ng Oktubre.
I wish tomorrow will be November 15.	Sana ika-labinlima na ng Nobyembre bukas.
They fought last September 6 because of money.	Nag-away sila noong ika-anim ng Septyembre dahil sa pera.
at that time.	sa panahong iyon.
It has been sixty days since I have chopsticks.	animnapung araw nang akong merong chopsticks.
in Tempe.	sa Tempe.
It's sunny all month long except last November 27.	Umaraw buong buwan maliban noong ika-dalawampu't pito ng Nobyembre.
Woman on TV: You put your finger in their.	Babae sa Telebisyon: Ilagay ninyo ang inyong daliri dun at ang aking pangalan ang lalabas.
Tomorrow will be October 7.	ika-pito ng Oktubre bukas.
rapture does not come until AFTER THE TRIBULATION.	destruksyon ay hindi magaganap hanggang PAGKATAPOS NG KAPIGHATIAN.
November 8 is Tuesday.	Ang ika-siyam ng Nobyembre ay Martes.
Is November 5 Friday.	Biyernes ba sa ika-lima ng Nobyembre.
He will write a book until December 24.	Magsusulat siya ng libro hanggang sa ika-dalawampu't apat ng Disyembre.
(Matthew 24:36) But of that day and hour knoweth.	(Mateo 24:36) Ngunit tungkol sa araw at oras na yaon walang makakaalam.
It is December 23 when.	ika-dalawampu't tatlo ng Disyembre noon nung.
they kill you or when they persecute you.	ikaw ay pinatay nila o inusig.
Festival will only last until September 12.	Hanggang sa ika-labindalawa nalang ng Septyembre ang piyesta.
Is October 26 Friday.	Biyernes ba sa ika-dalawampu't anim ng Oktubre.
If October 14 is Saturday,.	Kung Sabado ang ika-labing-apat ng Oktubre,.
It is September 12 when.	ika-labindalawa ng Septyembre noon nung.
Is September 11 Friday.	Biyernes ba sa ika-labing-isa ng Septyembre.
Morning of September 6.	Umaga ng ika-anim ng Septyembre.
Afternoon of November 10.	Hapon ng ika-sampu ng Nobyembre.
Pastor Anderson: Now.	Pastor Anderson: Ngayon.
He lost his money last November 20.	Nawala niya noong ika-dalawampu ng Nobyembre ang kanyang pera.
It has been fourteen years since I have dinner.	labing-apat na taon nang akong merong hapunan.
this guy.	sa lalaking ito.
It will be October 20 next week.	ika-dalawampu na ng Oktubre sa susunod na linggo.
believers are caught up.	ang mga mananampalataya ay titipunin.
From 2:00 AM to 7:00 PM.	Simula nang alas dos ng umaga hanggang alas siyete ng gabi.
Is October 13 Friday.	Biyernes ba sa ika-labintatlo ng Oktubre.
Did it rain last December 5.	Umulan ba noong ika-lima ng Disyembre.
Festival will only last until December 15.	Hanggang sa ika-labinlima nalang ng Disyembre ang piyesta.
He lost his money last October 20.	Nawala niya noong ika-dalawampu ng Oktubre ang kanyang pera.
Noon of September 10.	Tanghali ng ika-sampu ng Septyembre.
